creator_id,creator_name,primary_market,markets,languages,followers,engagement_rate,topics,styles,estimated_cost_usd,brand_safety_score,posting_consistency,recent_decline,collaboration_openness,historical_reliability,bio,evidence,risks
C001,Alex Rides,Mexico,Mexico,Spanish,158634,5.7,travel|tech,POV,4000,89,0.67,0,0.5,0.73,"Alex Rides creates travel, tech content with a POV-first storytelling style.",近10条内容中有2条涉及tech场景|代表视频互动率约6.1%|画面风格以POV为主,档期存在不确定性
C002,Sofia Motion,United States,United States,English,687354,2.0,tech|motorcycle,POV|vlog|review,9500,71,0.74,0.6,0.61,0.9,"Sofia Motion creates tech, motorcycle content with a POV-first storytelling style.",近10条内容中有3条涉及tech场景|代表视频互动率约2.3%|画面风格以POV为主,需确认竞品合作排他
C003,Diego Trail,United States,United States,English,1195098,5.1,outdoor|tech|surfing|skiing,vlog,9500,82,0.7,0.4,0.64,0.66,"Diego Trail creates outdoor, tech content with a vlog-first storytelling style.",近10条内容中有6条涉及outdoor场景|代表视频互动率约5.5%|画面风格以vlog为主,需确认竞品合作排他
C004,Maya Outdoors,United States,United States|Mexico,English|Spanish,327601,5.9,cycling|outdoor,vlog|review,11000,88,0.54,0.2,0.53,0.76,"Maya Outdoors creates cycling, outdoor content with a vlog-first storytelling style.",近10条内容中有7条涉及outdoor场景|代表视频互动率约5.7%|画面风格以vlog为主,
C005,Liam Frames,United States,United States|Mexico,English|Spanish,646103,4.6,motorcycle|outdoor,cinematic|comparison|vlog,10500,66,0.48,0.2,0.79,0.98,"Liam Frames creates motorcycle, outdoor content with a cinematic-first storytelling style.",近10条内容中有6条涉及outdoor场景|代表视频互动率约3.9%|画面风格以cinematic为主,素材授权范围需确认
C006,Yuki Journey,Mexico,Mexico,Spanish,351246,4.7,travel|tech|skiing|cycling,cinematic|tutorial,14500,77,0.66,0.4,0.49,0.74,"Yuki Journey creates travel, tech content with a cinematic-first storytelling style.",近10条内容中有5条涉及travel场景|代表视频互动率约4.3%|画面风格以tutorial为主,档期存在不确定性
C007,Noah Tech,Mexico,Mexico,Spanish,397295,5.0,motorcycle|travel,cinematic|review|comparison,6500,76,0.46,0.6,0.55,0.67,"Noah Tech creates motorcycle, travel content with a cinematic-first storytelling style.",近10条内容中有5条涉及motorcycle场景|代表视频互动率约4.5%|画面风格以cinematic为主,需确认竞品合作排他
C008,Camila Waves,Mexico,Mexico,Spanish,914812,5.8,skiing|outdoor|tech|motorcycle,comparison,9000,87,0.5,0.4,0.48,0.58,"Camila Waves creates skiing, outdoor content with a comparison-first storytelling style.",近10条内容中有6条涉及skiing场景|代表视频互动率约5.9%|画面风格以comparison为主,需确认竞品合作排他
C009,Ethan Explore,Mexico,Mexico,Spanish,133479,4.5,cycling|skiing,POV|comparison|vlog,4000,75,0.78,0,0.79,0.96,"Ethan Explore creates cycling, skiing content with a POV-first storytelling style.",近10条内容中有6条涉及cycling场景|代表视频互动率约5.6%|画面风格以vlog为主,档期存在不确定性
C010,Isabella Road,Mexico,Mexico,Spanish,1083742,3.3,cycling|motorcycle|travel,review|comparison,14000,72,0.72,0,0.95,0.78,"Isabella Road creates cycling, motorcycle content with a review-first storytelling style.",近10条内容中有3条涉及cycling场景|代表视频互动率约4.0%|画面风格以comparison为主,需确认竞品合作排他
C011,Lucas POV,United States,United States|Mexico,English|Spanish,771357,6.1,cycling|outdoor|skiing|motorcycle,cinematic|vlog|comparison,13000,76,0.78,0,0.88,0.9,"Lucas POV creates cycling, outdoor content with a cinematic-first storytelling style.",近10条内容中有4条涉及outdoor场景|代表视频互动率约6.4%|画面风格以comparison为主,需确认竞品合作排他
C012,Emma Peaks,United States,United States,English,844696,2.7,travel|skiing|cycling|outdoor,review|cinematic,4000,76,0.5,0.4,0.55,0.64,"Emma Peaks creates travel, skiing content with a review-first storytelling style.",近10条内容中有6条涉及cycling场景|代表视频互动率约2.8%|画面风格以cinematic为主,档期存在不确定性
C013,Mateo Wheels,United States,United States|Mexico,English|Spanish,1082507,5.7,travel|tech,comparison|POV,5500,89,0.87,0.2,0.5,0.96,"Mateo Wheels creates travel, tech content with a comparison-first storytelling style.",近10条内容中有2条涉及tech场景|代表视频互动率约6.5%|画面风格以comparison为主,素材授权范围需确认
C014,Olivia Lens,Mexico,Mexico,Spanish,1074798,1.9,tech|cycling|surfing,tutorial,13500,84,0.53,0.6,0.52,0.56,"Olivia Lens creates tech, cycling content with a tutorial-first storytelling style.",近10条内容中有6条涉及cycling场景|代表视频互动率约2.7%|画面风格以tutorial为主,
C015,Daniel Surf,United States,United States|Mexico,English|Spanish,623927,2.8,surfing|travel|motorcycle|outdoor,cinematic,11500,88,0.89,0,0.93,0.7,"Daniel Surf creates surfing, travel content with a cinematic-first storytelling style.",近10条内容中有6条涉及travel场景|代表视频互动率约3.5%|画面风格以cinematic为主,素材授权范围需确认
C016,Valeria Vlog,United States,United States|Mexico,English|Spanish,441437,5.9,motorcycle|outdoor|travel|surfing,tutorial|vlog|POV,5000,92,0.78,0,0.74,0.69,"Valeria Vlog creates motorcycle, outdoor content with a tutorial-first storytelling style.",近10条内容中有3条涉及motorcycle场景|代表视频互动率约6.7%|画面风格以tutorial为主,档期存在不确定性
C017,Ryan Gear,United States,United States|Mexico,English|Spanish,1009559,3.1,travel|cycling|outdoor|tech,tutorial,8000,94,0.77,0,0.82,0.74,"Ryan Gear creates travel, cycling content with a tutorial-first storytelling style.",近10条内容中有2条涉及tech场景|代表视频互动率约3.4%|画面风格以tutorial为主,档期存在不确定性
C018,Ava Horizon,Mexico,Mexico,Spanish,584656,3.8,surfing|tech|outdoor|skiing,tutorial|review|comparison,9500,66,0.56,0.2,0.87,0.94,"Ava Horizon creates surfing, tech content with a tutorial-first storytelling style.",近10条内容中有5条涉及skiing场景|代表视频互动率约3.6%|画面风格以comparison为主,需确认竞品合作排他
C019,Samuel Ride,United States,United States|Mexico,English|Spanish,549158,2.8,tech|skiing|surfing|motorcycle,review,5500,89,0.98,0.4,0.63,0.63,"Samuel Ride creates tech, skiing content with a review-first storytelling style.",近10条内容中有2条涉及motorcycle场景|代表视频互动率约3.8%|画面风格以review为主,近期商业内容比例偏高
C020,Chloe Wild,United States,United States,English,316663,3.6,skiing|cycling|motorcycle|travel,comparison|POV,6500,68,0.49,0.2,0.47,0.88,"Chloe Wild creates skiing, cycling content with a comparison-first storytelling style.",近10条内容中有6条涉及motorcycle场景|代表视频互动率约3.8%|画面风格以comparison为主,近期商业内容比例偏高
C021,Leo Action,United States,United States,English,665236,6.1,motorcycle|tech|skiing,tutorial|vlog,3500,73,0.68,0,0.59,0.56,"Leo Action creates motorcycle, tech content with a tutorial-first storytelling style.",近10条内容中有6条涉及tech场景|代表视频互动率约6.7%|画面风格以tutorial为主,
C022,Mia Travel,Mexico,Mexico,Spanish,641742,5.9,outdoor|surfing,cinematic,12500,70,0.47,0,0.95,0.97,"Mia Travel creates outdoor, surfing content with a cinematic-first storytelling style.",近10条内容中有5条涉及outdoor场景|代表视频互动率约5.8%|画面风格以cinematic为主,近期商业内容比例偏高
C023,Gabriel Motion,United States,United States,English,605229,3.2,surfing|skiing,cinematic|vlog|tutorial,3500,62,0.46,0.6,0.74,0.63,"Gabriel Motion creates surfing, skiing content with a cinematic-first storytelling style.",近10条内容中有6条涉及surfing场景|代表视频互动率约2.9%|画面风格以cinematic为主,素材授权范围需确认
C024,Zoe Alpine,United States,United States,English,798703,6.4,cycling|tech|travel,review|vlog|comparison,6000,70,0.66,0.2,0.97,0.91,"Zoe Alpine creates cycling, tech content with a review-first storytelling style.",近10条内容中有4条涉及travel场景|代表视频互动率约6.0%|画面风格以review为主,
C025,Nico Adventure,United States,United States,English,174869,4.9,tech|skiing|travel|surfing,POV,10000,73,0.53,0.4,0.45,0.71,"Nico Adventure creates tech, skiing content with a POV-first storytelling style.",近10条内容中有5条涉及travel场景|代表视频互动率约5.3%|画面风格以POV为主,近期商业内容比例偏高
C026,Ella Review,United States,United States|Mexico,English|Spanish,1134372,2.7,surfing|cycling|skiing,cinematic,13000,74,0.58,0,0.5,0.9,"Ella Review creates surfing, cycling content with a cinematic-first storytelling style.",近10条内容中有4条涉及cycling场景|代表视频互动率约2.1%|画面风格以cinematic为主,需确认竞品合作排他
C027,Marco Journey,Mexico,Mexico,Spanish,763954,2.2,cycling|travel|motorcycle|skiing,comparison|tutorial,14500,93,0.53,0.6,0.79,0.57,"Marco Journey creates cycling, travel content with a comparison-first storytelling style.",近10条内容中有6条涉及travel场景|代表视频互动率约2.7%|画面风格以tutorial为主,档期存在不确定性
C028,Luna Camera,United States,United States|Mexico,English|Spanish,258450,5.3,tech|motorcycle|outdoor,vlog,3000,64,0.52,0.2,0.96,0.71,"Luna Camera creates tech, motorcycle content with a vlog-first storytelling style.",近10条内容中有6条涉及tech场景|代表视频互动率约6.2%|画面风格以vlog为主,素材授权范围需确认
C029,Ben Trails,United States,United States|Mexico,English|Spanish,272816,3.0,tech|cycling,vlog|tutorial|review,13500,95,0.49,0.4,0.58,0.58,"Ben Trails creates tech, cycling content with a vlog-first storytelling style.",近10条内容中有5条涉及tech场景|代表视频互动率约3.7%|画面风格以review为主,近期商业内容比例偏高
